Type de ticket, Résumé, Description, Versions corrigées, Priorité, Epic link, Sprint, Story points, Status
Story, E03-F11-US 022 - Order confirmation, En tant qu'utilisateur ayant procédé au paiement de ma commande Je souhaite avoir une confirmation de ma commande Afin de m'assurer que ma commande a été prise en compte, V1.0, Highest, E03 - Shopping cart, 1, 3, Terminé(e)
Story, E04-F12-US 023 - Sélectionner une catégorie (Exemple : Women), En tant qu'utilisateur Je souhaite rechercher un produit par catégorie Afin de voir la fiche détail du produit, V1.0, High, E04 - Catalog, 2, 5, Terminé(e)
Story, E04-F12-US 024 - Sélectionner une sous-catégorie (Exemple : Top ou Dresses),  , V1.0, High, E04 - Catalog, 2, 5, Terminé(e)
Story, E04-F13-US 025 - Sélectionner un ou plusieurs critères de filtre,  , V1.0, Highest, E04 - Catalog, 1, 8, Terminé(e)
Story, E04-F14-US 026 - Trier l'affichage des articles (par prix - par nom…),  , V1.0, Medium, E04 - Catalog, 3, 5, Terminé(e)
Story, E04-F15-US 027 - Recherche de produits par mot-clé, En tant qu'utilisateur Je souhaite sélectionner des produits à partir d'un mot-clé Afin de consulter tous les produits correspondant à mon mon-clé , V1.0, High, E04 - Catalog, 2, 8, Terminé(e)
Story, E04-F16-US 028 - Type d'affichage des produits (grid - list),  , V1.0, Medium, E04 - Catalog, 3, 5, Terminé(e)
Story, E04-F17-US 029 - Quick view,  , V1.0, Medium, E04 - Catalog, 3, 5, Terminé(e)
Story, E04-F17-US 030 - Product details (via click ou MORE),  , V1.0, High, E04 - Catalog, 2, 5, Terminé(e)
Story, E04-F17-US 031 - Sélectionner une quantité d'un produit, En tant qu'utilisateur Je souhaite choisir la quantité d'un produit sélectionné Afin de préparer mon choix du produit pour éventuellement l'ajouter au panier, V1.0, Highest, E04 - Catalog, 4, 8, En cours
Story, E04-F17-US 032 - Sélectionner une taille, En tant qu'utilisateur Je souhaite sélectionner la taille d'un produit sélectionné Afin de préparer mon choix du produit pour éventuellement l'ajouter au panier, V1.0, High, E04 - Catalog, 2, 3, Terminé(e)
Story, E04-F17-US 033 - Sélectionner une couleur,  , V1.0, Medium, E04 - Catalog, 3, 3, Terminé(e)
Story, E04-F17-US 034 - Add to cart, En tant qu'utilisateur Je souhaite sélectionner un produit Afin de l'ajouter au panier, V1.0, Highest, E04 - Catalog, 1, 8, Terminé(e)
Story, E04-F17-US 035 - Add to Wishlist,  , V1.0, Low, E04 - Catalog, 4, 3, Terminé(e)
Story, E04-F17-US 036 - Add to Compare,  ,  , Low, E04 - Catalog,  , 3, À faire
Story, E04-F17-US 037 - Product comparison,  , V1.0 , Low, E04 - Catalog, 4, 8, Terminé(e)
Story, E05-F18-US 038 - Delivery Information,  , V1.0 , Medium, E05 - Information, 3, 2, Terminé(e)
Story, E05-F19-US 039 - Legal Notice Information,  ,  , Lowest, E05 - Information,  , 1, À faire
Story, E05-F20-US 040 - Terms and conditions of use Information,  ,  , Lowest, E05 - Information,  , 1, À faire
Story, E05-F21-US 041 - About us Information,  ,  , Lowest, E05 - Information,  , 1, À faire
Story, E05-F22-US 042 - Secure payment Information,  ,  , Lowest, E05 - Information,  , 1, À faire
Story, E05-F23-US 043 - Our stores Information,  ,  , Lowest, E05 - Information,  , 3, À faire
Story, E06-F24-US 044 - Navigateur Chrome,  , V1.0, Medium, E06 - Architecture, 4, 5, En cours
Story, E06-F24-US 045 - Navigateur Firefox,  , V1.0, Medium, E06 - Architecture, 4, 5, En cours
Story, E06-F25-US 046 - Interface avec gestion des stocks,  ,  , High, E06 - Architecture,  , 40, À faire
